path	classification
docs/reports/member-phase-10c-p6h-task2-challenge-detail-counts.md	challenges
docs/reports/member-phase-10c-p6h-task3-durationdays-backfill.md	general
docs/reports/member-phase-10c-p6h-task4-premature-completion-audit.md	general
docs/reports/member-phase-10c-p6h-task4b-completion-algorithm-fix.md	general
docs/reports/member-phase-10c-p6h-task4c-repair-payload-validation.md	general
docs/reports/member-phase-10c-p6h-task4d-completion-scoring-model-audit.md	general
docs/reports/member-phase-11-challenge-type-architecture-audit.md	challenges
docs/reports/member-phase-11b-challenge-engine-framework.md	challenges
docs/reports/member-phase-11c-legacy-engine-integration.md	general
docs/reports/member-phase-11d-streak-engine-activation.md	general
docs/reports/member-phase-11e-competitive-engine-activation.md	general
docs/reports/member-phase-11f-collective-engine-activation.md	general
docs/reports/member-phase-11g-engine-verification-audit.md	general
docs/reports/member-phase-11h-engine-aware-creation-wizard.md	general
docs/reports/member-phase-12-production-readiness.md	general
docs/reports/member-phase-12E-release-candidate-audit.md	general
docs/reports/member-phase-13A-qa-validation-matrix.md	general
docs/reports/member-phase-13C-atomic-collective-completion.md	general
docs/reports/member-phase-13D-data-integrity-hardening.md	general
docs/reports/member-phase-13E-production-verification.md	general
docs/reports/member-phase-13F-admin-template-audit.md	general
docs/reports/member-phase-13G-admin-analytics.md	analytics
docs/reports/member-phase-13H-admin-ux-audit.md	general
docs/reports/member-phase-14A-template-management.md	general
docs/reports/member-phase-14B-wellness-engine-parity.md	wellness
docs/reports/member-phase-14C-template-dashboard.md	general
docs/reports/member-phase-14D-template-snapshot-integrity.md	general
docs/reports/member-phase-14H-challenge-creation-architecture.md	challenges
docs/reports/member-phase-15B-callable-validation-parity.md	general
docs/reports/member-phase-15C-callable-behaviour-parity.md	general
docs/reports/member-phase-15D-backend-parity-audit.md	general
docs/reports/member-phase-15E-callable-migration-blockers.md	general
docs/reports/member-phase-16A-frontend-migration.md	general
docs/reports/member-phase-16A1-tdzfix.md	general
docs/reports/member-phase-16A2-chunk-fix.md	general
docs/reports/member-phase-16B-acceptance-verification.md	general
docs/reports/member-phase-4-onboarding-auth-cleanup.md	identity/onboarding
docs/reports/member-phase-5-discovery-completeness.md	general
docs/reports/member-phase-6-donation-audit.md	donations/support
docs/reports/member-phase-6-performance-audit.md	general
docs/reports/member-phase-6-support-donation-aggregate.md	donations/support
docs/reports/member-phase-7-group-challenge-policy-audit.md	challenges
docs/reports/member-phase-7-user-metrics-member-home.md	analytics
docs/reports/member-phase-7a-security-hardening-implementation.md	security
docs/reports/member-phase-7b-server-owned-counters.md	general
docs/reports/member-phase-7c-private-group-invite-audit.md	groups
docs/reports/member-phase-7d-backend-foundation.md	general
docs/reports/member-phase-7e-invite-management.md	general
docs/reports/member-phase-7f-invite-redemption-engine.md	general
docs/reports/member-phase-7g-invite-management-ui.md	general
docs/reports/member-phase-7h-cutover-readiness.md	general
docs/reports/member-phase-7h-invite-migration-implementation.md	general
docs/reports/member-phase-7i-post-migration-validation.md	general
docs/reports/member-phase-8a-member-journey-audit.md	general
docs/reports/member-phase-8a-ux-cleanup-audit.md	general
docs/reports/member-phase-8b-p0-pilot-blockers.md	general
docs/reports/member-phase-8b-p1-secondary-ux-cleanup.md	general
docs/reports/member-phase-9a-catalog-template-scalability-audit.md	general
docs/reports/member-phase-9b-catalog-template-scalability.md	general
docs/reports/member-phase-9c-admin-catalog-pagination.md	general
docs/reports/member-phase-9d-challenge-creation-integration.md	challenges
docs/reports/member-phase-X-tdzinvestigation.md	general
docs/reports/member-ux-2-engine-aware-logging.md	general
docs/reports/member-ux-3-engine-aware-leaderboards.md	general
docs/reports/member-ux-4-engine-aware-completion.md	general
docs/reports/member-ux-5-engine-aware-templates.md	general
docs/reports/member-ux-6-wizard-polish.md	general
docs/reports/p6a-challenge-engine-forensic-audit.md	challenges
docs/reports/phase-17E-2-wellness-activity-fields.md	wellness
docs/reports/phase-17E-3-streak-frequency-field.md	general
docs/reports/phase-17F-1-challenge-creation-flow-audit.md	challenges
docs/reports/phase-17F-2-wizard-wellness-default-unit.md	wellness
docs/reports/phase-17F-3-fitness-template-edit-shared-activity.md	fitness
docs/reports/phase-17F-4-remove-streak-frequency.md	general
docs/reports/phase-17G-challenge-creation-e2e-audit.md	challenges
docs/reports/phase-17c-3-parity-audit.md	general
docs/reports/phase-18A-challenge-detail-wellness-audit.md	challenges
docs/reports/phase-18B-1-stale-duration-guard.md	general
docs/reports/phase-18B-duration-consistency.md	general
docs/reports/phase-18C-wellness-activity-framework-spec.md	wellness
docs/reports/phase-18D-1-wellness-catalog-code-update.md	wellness
docs/reports/phase-18D-2-static-catalog-audit.md	general
docs/reports/phase-18D-3A-wellness-source-audit.md	wellness
docs/reports/phase-18D-3B-wellness-ui-category-support.md	wellness
docs/reports/phase-18D-3C-firestore-migration-preview.md	general
docs/reports/phase-18D-4-wellness-firestore-seed.md	wellness
docs/reports/phase-18E-1-group-challenge-authorization.md	challenges
docs/reports/phase-18F-1-engine-aware-challenge-detail-duration-regression.md	challenges
docs/reports/phase-18G-1-join-leave-log-audit.md	general
docs/reports/phase-18G-2A-1-join-permission-fix.md	general
docs/reports/phase-18G-2A-collective-firestore-rule-fix.md	security
docs/reports/phase-18G-2B-participant-count-authority.md	identity/onboarding
docs/reports/phase-18G-2C-1-unified-log-value-picker.md	general
docs/reports/phase-18G-2C-wellness-log-auto-join.md	wellness
docs/reports/phase-18G-2D-target-type-group-membership.md	groups
docs/reports/phase-18G-2E-service-safety-guards.md	general
docs/reports/phase-18H-streak-ux-clarity.md	general
docs/reports/phase-18I-1-full-logging-leaderboard-audit.md	general
docs/reports/phase-18I-2A-wellness-undefined-payload-fix.md	wellness
docs/reports/phase-18I-2B-challenge-detail-mini-leaderboard.md	challenges
docs/reports/phase-18I-2C-regression-guards.md	general
docs/reports/phase-18I-3-logging-flow-integrity-audit.md	general
docs/reports/phase-18I-4A-mini-leaderboard-invalidation.md	general
docs/reports/phase-18I-4B-wellness-logs-in-feed.md	wellness
docs/reports/phase-18I-4C-progress-key-consistency.md	general
docs/reports/phase-18I-4D-leaderboard-participant-scope.md	general
docs/reports/phase-18I-4E-seeded-challengemembers-cleanup.md	challenges
docs/reports/phase-18I-4F-remove-core-blast-fallbacks.md	general
docs/reports/phase-18I-4G-group-feed-invalidation.md	groups
docs/reports/phase-18I-4H-post-cleanup-logging-leaderboard-audit.md	general
docs/reports/phase-18I-5A-R-group-feed-live-path-audit.md	groups
docs/reports/phase-18I-5A-activity-feed-generation.md	general
docs/reports/phase-18I-5B-leaderboard-progress-display.md	general
docs/reports/phase-18I-5C-R-navigation-link-polish.md	general
docs/reports/phase-18I-5C-navigation-links.md	general
docs/reports/phase-18I-5D-copy-ui-polish.md	general
docs/reports/phase-18I-5E-progress-display-source-of-truth.md	general
docs/reports/phase-18I-5F-collective-progress-engine.md	general
docs/reports/phase-18I-5G-progress-source-of-truth-sweep.md	general
docs/reports/phase-7g-blank-screen-fix.md	general
docs/reports/phase-7g-blank-screen-root-cause.md	general
docs/reports/pre-beta-baseline-validation.md	general
docs/reports/pre-beta-final-readiness-report.md	general
docs/reports/pre-beta-group-create-edit-final-hardening.md	groups
docs/reports/pre-beta-group-detail-follow-up-hardening.md	groups
docs/reports/pre-beta-group-detail-onboarding-and-taxonomy-fix.md	groups
docs/reports/pre-beta-onboarding-step-1-blocker-fix.md	identity/onboarding
docs/reports/pre-beta-phase-1-guard-triage.md	general
docs/reports/pre-beta-phase-4-dead-code-cleanup.md	general
docs/reports/pre-beta-phase-5-legacy-v1-removal.md	general
docs/reports/pre-beta-phase-6-onboarding-home-ux.md	identity/onboarding
docs/reports/pre-beta-phase-6b-final-guard-closure.md	general
docs/reports/pre-beta-phase-7b-final-technical-closure.md	general
docs/reports/pre-beta-support-tiizi-simplification.md	donations/support
docs/reports/pre-pilot-onboarding-and-wellness-template-fix.md	wellness
docs/reports/tiizi-full-pilot-readiness-audit-2026-06-02.md	general
docs/superpowers/audits/2026-07-05-donations-flow-pilot-audit.md	donations/support
docs/superpowers/audits/2026-07-06-phase-19A-group-feed-audit.md	groups
docs/superpowers/audits/2026-07-07-phase-19A-9-challenge-performance-source-of-truth-audit.md	challenges
docs/superpowers/changes/2026-07-06-admin-donation-campaign-management.md	donations/support
docs/superpowers/changes/2026-07-06-admin-donation-dashboard-currency-follow-up.md	donations/support
docs/superpowers/changes/2026-07-06-admin-donation-dashboard-follow-up.md	donations/support
docs/superpowers/changes/2026-07-06-brand-icon-implementation.md	general
docs/superpowers/changes/2026-07-06-cause-campaign-currency-source-fix.md	general
docs/superpowers/changes/2026-07-06-cause-donation-pledge-flow.md	donations/support
docs/superpowers/changes/2026-07-07-phase-19A-8C-feed-progress-source-of-truth.md	general
docs/superpowers/changes/2026-07-07-phase-19A-8D-feed-accuracy-activity-logging-alignment.md	general
docs/superpowers/changes/phase-19A-3-feed-live-stats-layer.md	general
docs/superpowers/changes/phase-19A-4-feed-social-reactions.md	general
docs/superpowers/changes/phase-19A-5-feed-comments-replies.md	general
docs/superpowers/changes/phase-19A-6-feed-filters-empty-states.md	general
docs/superpowers/changes/phase-19A-7-feed-milestone-achievement-posts.md	general
docs/superpowers/changes/phase-19A-challenge-performance-source-of-truth-tracker.md	challenges
docs/superpowers/implementation-reports/2026-07-07-phase-19A-10A-activity-session-cumulative-progress.md	general
docs/superpowers/implementation-reports/2026-07-07-phase-19A-10B-remove-duplicate-leaderboard-cumulative.md	general
docs/superpowers/implementation-reports/2026-07-07-phase-19A-10C-home-progress-source-of-truth.md	general
docs/superpowers/implementation-reports/2026-07-07-phase-19A-10D-challenge-completed-single-total.md	challenges
docs/superpowers/implementation-reports/2026-07-07-phase-19A-10E-post-log-cache-invalidation.md	general
docs/superpowers/implementation-reports/2026-07-08-phase-19A-10F-final-regression-guard.md	general
docs/superpowers/implementation-reports/2026-07-08-phase-19A-10G-collective-double-count-fix.md	general
docs/superpowers/implementation-reports/2026-07-08-phase-19A-10H-home-and-completion-team-progress-regression.md	general
docs/superpowers/implementation-reports/2026-07-08-phase-19A-10I-collective-team-progress-user-total-fix.md	general
docs/superpowers/implementation-reports/2026-07-08-phase-19A-10J-activity-log-screen-team-progress-fix.md	general
docs/superpowers/implementation-reports/2026-07-08-phase-19A-10K-group-feed-step-value-cap-fix.md	groups
docs/superpowers/implementation-reports/2026-07-08-phase-19A-10L-group-card-count-and-completion-cta.md	groups
docs/superpowers/manual-test-matrices/2026-07-08-phase-19A-performance-source-of-truth-manual-test-matrix.md	general
docs/superpowers/plans/2026-06-05-member-activity-summaries.md	general
docs/superpowers/plans/2026-06-05-secure-member-activity-summaries.md	general
docs/superpowers/plans/2026-06-22-p6h-challenge-runtime-alignment.md	challenges
docs/superpowers/plans/2026-07-03-group-ux-log-activity-polish.md	groups
docs/superpowers/plans/2026-07-03-home-challenge-relevance.md	challenges
docs/superpowers/reports/2026-07-06-admin-donation-campaign-management.md	donations/support
docs/superpowers/reports/2026-07-06-admin-donation-dashboard-currency-follow-up.md	donations/support
docs/superpowers/reports/2026-07-06-admin-donation-dashboard-follow-up.md	donations/support
docs/superpowers/reports/2026-07-06-brand-icon-implementation.md	general
docs/superpowers/reports/2026-07-06-cause-campaign-currency-source-fix.md	general
docs/superpowers/reports/2026-07-06-cause-donation-pledge-flow.md	donations/support
docs/superpowers/reports/2026-07-06-phase-19A-1-feed-data-model.md	general
docs/superpowers/reports/2026-07-06-phase-19A-2-feed-card-ui-redesign.md	general
docs/superpowers/reports/2026-07-07-phase-19A-3-feed-live-stats-layer.md	general
docs/superpowers/reports/2026-07-07-phase-19A-4-feed-social-reactions.md	general
docs/superpowers/reports/2026-07-07-phase-19A-5-feed-comments-replies.md	general
docs/superpowers/reports/2026-07-07-phase-19A-6-feed-filters-empty-states.md	general
docs/superpowers/reports/2026-07-07-phase-19A-7B-personal-activity-stories.md	general
docs/superpowers/reports/2026-07-07-phase-19A-8-final-qa-performance-cleanup.md	general
docs/superpowers/reports/2026-07-07-phase-19A-8B-feed-progress-alignment.md	general
docs/superpowers/reports/2026-07-07-phase-19A-8C-feed-progress-source-of-truth.md	general
docs/superpowers/reports/2026-07-07-phase-19A-8D-feed-accuracy-activity-logging-alignment.md	general
docs/superpowers/reports/phase-18I-6D-group-schema-consistency.md	groups
docs/superpowers/reports/phase-18I-6E-follow-up-activity-model-complete.md	general
docs/superpowers/reports/phase-18I-6E-mvp-challenge-activity-model.md	challenges
docs/superpowers/reports/phase-18I-6F-template-source-alignment-wellness-picker-fix.md	wellness
docs/superpowers/reports/phase-18I-6G-admin-challenge-mgmt-analytics-featured-templates.md	challenges
docs/superpowers/reports/phase-18I-6G-final-template-engine-filter-labels.md	general
docs/superpowers/reports/phase-18I-6G-followup-challenge-management-fixes.md	challenges
docs/superpowers/reports/phase-18I-6H-collective-challenge-validation-fix.md	challenges
docs/superpowers/reports/phase-18I-6I-home-challenge-relevance.md	challenges
docs/superpowers/reports/phase-18I-6J-group-ux-log-activity-polish.md	groups
docs/superpowers/reports/phase-18I-6K-followup-log-activity-route-fix.md	general
docs/superpowers/reports/phase-18I-6K-log-activity-leaderboard-unification.md	general
docs/superpowers/reports/phase-18I-6L-challenges-view-copy-wellness-covers-browse-cta.md	challenges
docs/superpowers/reports/phase-18I-6L-followup-wellness-activities-library.md	wellness
docs/superpowers/reports/phase-18I-6M-wellness-activity-detail-add-to-challenge.md	challenges
docs/superpowers/reports/phase-18I-6N-followup-profile-analytics-ux-cleanup.md	identity/onboarding
docs/superpowers/reports/phase-18I-6N-profile-analytics-audit.md	identity/onboarding
docs/superpowers/reports/phase-18I-6N-task1-canonical-user-analytics-layer.md	analytics
docs/superpowers/reports/phase-18I-6N-task2-profilescreen-metrics-cleanup.md	identity/onboarding
docs/superpowers/reports/phase-18I-6N-task3-profile-analytics-screen-alignment.md	identity/onboarding
docs/superpowers/reports/phase-18I-6N-task4-analytics-refresh-query-performance.md	analytics
docs/superpowers/reports/phase-18I-6O-onboarding-audit.md	identity/onboarding
docs/superpowers/reports/phase-18I-6O-onboarding-implementation.md	identity/onboarding
docs/superpowers/reports/phase-18I-mobile-layout-audit.md	general
docs/superpowers/reports/phase-18I-visual-polish-report.md	general
docs/superpowers/reports/phase-19A-7-feed-milestone-achievement-posts.md	general
docs/superpowers/specs/2026-07-01-group-deactivation-lifecycle.md	groups
docs/superpowers/specs/2026-07-03-home-challenge-relevance-design.md	challenges
