inventoryRowId,legacyRecordId,legacyName,sourceLocation,sourceSymbolOrCollection,sourceType,currentEntityType,currentStatus,currentCategory,currentSubcategory,currentMetrics,currentUnits,currentChallengeTypes,currentWorkoutUsage,currentContentAvailable,duplicateCandidateGroup,runtimeReachability,evidenceReference,notes
"FIT-LEG-0018","single-left-leg-plank","Single Left Leg Plank","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1486","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0019","single-right-leg-plank","Single Right Leg Plank","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1571","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0020","leg-raised-plank-left","Leg Raised Plank Left","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1656","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0021","leg-raised-plank-right","Leg Raised Plank Right","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1741","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0022","diagonal-plank-hold-left","Diagonal Plank Hold Left","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1826","difficulty=Advanced; movementType=isometric; holdBased=true"
"FIT-LEG-0023","diagonal-plank-hold-right","Diagonal Plank Hold Right","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1912","difficulty=Advanced; movementType=isometric; holdBased=true"
"FIT-LEG-0024","plank-and-reach-left","Plank and Reach Left","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:1998","difficulty=Intermediate; movementType=isometric; holdBased=false"
"FIT-LEG-0025","plank-and-reach-right","Plank and Reach Right","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2083","difficulty=Intermediate; movementType=isometric; holdBased=false"
"FIT-LEG-0026","reverse-plank","Reverse Plank","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2168","difficulty=Intermediate; movementType=isometric; holdBased=true"
"FIT-LEG-0027","reverse-plank-with-left-leg-raised","Reverse Plank with Left Leg Raised","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2253","difficulty=Advanced; movementType=isometric; holdBased=true"
"FIT-LEG-0028","reverse-plank-with-right-leg-raised","Reverse Plank with Right Leg Raised","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","time","seconds","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|tags|movementType|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2338","difficulty=Advanced; movementType=isometric; holdBased=true"
"FIT-LEG-0029","abdominal-crunches","Abdominal Crunches","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2423","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0030","reverse-crunches","Reverse Crunches","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2508","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0031","bicycle-crunches","Bicycle Crunches","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2593","difficulty=Intermediate; movementType=isotonic; holdBased=false"
"FIT-LEG-0032","russian-twist","Russian Twist","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2679","difficulty=Intermediate; movementType=isotonic; holdBased=false"
"FIT-LEG-0033","crossover-crunch","Crossover Crunch","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2765","difficulty=Intermediate; movementType=isotonic; holdBased=false"
"FIT-LEG-0034","oblique-crunch-reach","Oblique Crunch Reach","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2850","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0035","reclined-oblique-twist","Reclined Oblique Twist","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:2935","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0036","sit-ups","Sit-Ups","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3020","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0037","heel-touch","Heel Touch","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3105","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0038","toe-tap","Toe Tap","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3190","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0039","dead-bug","Dead Bug","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3275","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0040","bird-dog","Bird Dog","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Balance & Stability","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3360","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0041","mountain-climber","Mountain Climber","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Cardio","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3446","difficulty=Intermediate; movementType=isotonic; holdBased=false"
"FIT-LEG-0042","slow-mountain-climber","Slow Mountain Climber","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3542","difficulty=Intermediate; movementType=isotonic; holdBased=false"
"FIT-LEG-0043","leg-raises","Leg Raises","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3628","difficulty=Intermediate; movementType=isotonic; holdBased=false"
"FIT-LEG-0044","single-leg-drops","Single Leg Drops","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3713","difficulty=Intermediate; movementType=isotonic; holdBased=false"
"FIT-LEG-0045","kick-crunch","Kick Crunch","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Strength","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3798","difficulty=Intermediate; movementType=isotonic; holdBased=false"
"FIT-LEG-0046","high-knee-with-twist","High Knee with Twist","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Cardio","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3883","difficulty=Beginner; movementType=isotonic; holdBased=false"
"FIT-LEG-0047","standing-bicycle-crunches","Standing Bicycle Crunches","catalogExercises_CLEAN.json","documents[] / catalogExercises","static-catalog-record","exercise","local-seed-source","Core","Cardio","reps","reps","collective|competitive|streak (wizard selectable)","selectable and loggable after Firestore seed/admin import","tier_1|tier_2|difficulty|musclesTargeted|equipment|trainingGoals|metric|description|setup|execution|breathing|formCues|commonMistakes|progressions|advancedVariations|safetyNotes|recommendedVolume|movementType|tags|holdBased","unknown","seed-to-active-runtime","catalogExercises_CLEAN.json:3979","difficulty=Beginner; movementType=isotonic; holdBased=false"
